feature,mean_abs_shap
local_58,0.8876538006419888
local_52,0.6096218929451631
local_75,0.5859554007836475
agg_31,0.2632013661496973
local_4,0.2570981057059987
local_57,0.25160860278700065
local_2,0.245308246763462
local_1,0.22716880733893705
agg_67,0.2104868309432847
local_22,0.2055683961892605
agg_69,0.1807793981874487
local_54,0.17324622992542774
local_51,0.17259421214998436
local_60,0.15656465195803632
agg_6,0.15130597802615656
local_64,0.14910733098028645
local_15,0.14582246947224253
local_89,0.1367436703449626
local_88,0.13602569998360184
agg_38,0.12715711564894008
local_7,0.123268315029522
local_45,0.107903517043071
agg_44,0.10736988902024983
local_63,0.09681437971749003
agg_12,0.09133362722380128
agg_64,0.0879279555618494
local_79,0.08751303130979649
local_40,0.08608292737383019
agg_48,0.08570365380720935
local_46,0.08402841974735796
agg_45,0.08343417597785953
local_0,0.0787439647944626
agg_33,0.07840492459193357
local_82,0.07656227575427937
agg_37,0.07498987304537955
local_42,0.06692311489587938
local_8,0.06496799968283358
local_13,0.06260151034750705
local_48,0.06216870636897384
local_17,0.061021163152118224
agg_27,0.06098592626928588
local_41,0.06078659404774074
local_39,0.0564397063842003
agg_60,0.0520169307853003
local_24,0.05194057976937004
local_87,0.05118029310279575
agg_65,0.05099194902828891
local_76,0.04842985336246455
agg_36,0.04781370662669951
agg_9,0.04777703596831257
local_28,0.0474334102559135
local_53,0.04702313263059661
local_12,0.0466510459637948
local_10,0.04506629314706733
local_78,0.044774390059599024
agg_70,0.04335050348452384
agg_61,0.04295731380653362
local_21,0.041257657728543375
agg_0,0.040725722280897374
agg_66,0.037382331122166795
agg_3,0.037330110941801165
agg_21,0.036786263695645305
agg_1,0.036439258103869505
local_72,0.036245433150158664
agg_54,0.03600085569762064
local_23,0.03474617354218661
agg_57,0.03464501730633896
agg_25,0.034021469691331296
agg_43,0.03282783667852476
local_70,0.03211047347765786
local_47,0.03193192628215068
local_90,0.031535183489439456
agg_15,0.031075374192568436
agg_50,0.030716562902761136
local_59,0.030356916785759268
agg_49,0.03009544469237477
agg_42,0.030065643669615463
agg_39,0.02948910175627645
agg_7,0.02947416592010539
component_size,0.028648786489519084
local_33,0.0284369519421048
local_16,0.027730824979762436
agg_68,0.027198104892182468
agg_63,0.02666713072933214
agg_51,0.026563237540694114
agg_8,0.02623032906451309
local_66,0.026121220595788152
agg_46,0.02585148577414366
local_71,0.024823525066569832
local_27,0.024223467629013593
local_3,0.02314177412777981
agg_58,0.022804981341318743
pagerank,0.022415748724037315
agg_55,0.022295960400854332
agg_71,0.022221455997031948
local_9,0.02217713942961083
local_83,0.021237086710502784
agg_13,0.0203929723827789
local_84,0.020164855683628347
local_18,0.019605566712395904
agg_4,0.01882440164920484
agg_18,0.018477344617056243
agg_5,0.017115464495059993
agg_26,0.016647088290747444
agg_32,0.016438146366469467
agg_62,0.016420284104883325
agg_41,0.016139798807549822
agg_20,0.015746939894687707
local_30,0.01566817292420437
local_77,0.015047386525109459
agg_19,0.014821114618408298
degree_asymmetry,0.01334925263964422
local_25,0.013255530713651065
local_80,0.012653509040446577
local_91,0.012390710360598222
agg_2,0.011824368900126841
local_65,0.011270752247441694
agg_30,0.011082133720678662
local_61,0.010771515288405663
local_32,0.010524706765869685
agg_59,0.010450006427623556
local_11,0.009794918870230781
local_34,0.009669570177020116
local_19,0.009387072202885595
agg_56,0.009021485485719738
local_29,0.008990872290502406
agg_16,0.008715676099943283
agg_28,0.008711700221328273
total_degree,0.008492104751219637
agg_52,0.008332947578426697
local_55,0.007943223432964117
agg_14,0.007595794092795822
agg_10,0.007330773968068161
agg_34,0.00727899493972407
local_5,0.006816476277132976
in_degree,0.006660826906502163
local_56,0.005651936312141718
agg_17,0.005370931536303239
local_44,0.005160929660682626
local_26,0.005112111062819002
local_85,0.00509035597415735
agg_40,0.004888519699033745
local_20,0.004848466212141034
agg_11,0.0048281699053662475
local_43,0.004637304785613782
local_50,0.004528870803612303
out_degree,0.003963170235980383
agg_24,0.0036977947877835926
agg_35,0.003446762564795528
agg_53,0.003389090732282889
local_92,0.002862378851619651
local_49,0.0028513257083410664
agg_23,0.002528737268338147
local_31,0.0023423176968036105
agg_22,0.002309999504258661
local_67,0.0022947917133492044
local_36,0.0020674343475143827
local_81,0.0019875021644961206
agg_29,0.0019106809781845057
is_terminal_like,0.0018685516569755581
local_73,0.0018122321332937788
local_69,0.0014678817148668253
local_86,0.001053160038863675
is_bridge_like,0.001006389155308136
agg_47,0.0009923566216163346
local_74,0.000762986802196444
local_37,0.0005887062489454966
local_35,0.000507168307622115
local_6,0.00029800180579092796
local_68,0.00012429013352454682
clustering_coef,7.766659880817238e-05
local_38,3.607409065315443e-05
local_14,0.0
local_62,0.0
